Date,Words (Draft),Words (Elsewhere),Words (Total),Session Target
8/10/20,624,0,624,0,-
8/13/20,657,0,657,0,-
8/14/20,0,0,0,0,-
1/18/21,638,0,638,0,-
1/19/21,847,0,847,0,-
1/22/21,786,0,786,0,-
1/23/21,598,0,598,0,-
1/26/21,845,0,845,0,-
1/28/21,794,0,794,0,-
2/1/21,1358,0,1358,0,-
2/2/21,1108,0,1108,0,-
2/9/21,1598,0,1598,0,-
2/10/21,1501,0,1501,0,1,000 words
2/13/21,1084,0,1084,0,1,000 words
2/14/21,1170,0,1170,0,1,000 words
2/15/21,35,0,35,0,1,000 words
2/17/21,1811,0,1811,0,1,000 words
2/18/21,605,0,605,0,1,000 words
2/20/21,1204,0,1204,0,1,000 words
2/21/21,1083,0,1083,0,1,000 words
2/22/21,234,0,234,0,1,000 words
2/23/21,1208,2,1210,0,1,000 words
2/24/21,1469,0,1469,0,1,000 words
2/25/21,1670,0,1670,0,1,000 words
2/26/21,2286,0,2286,0,1,000 words
2/27/21,776,0,776,0,1,000 words
2/28/21,1105,0,1105,0,1,000 words
3/1/21,218,0,218,0,1,000 words
3/2/21,746,0,746,0,1,000 words
3/3/21,1863,0,1863,0,1,000 words
3/4/21,405,0,405,0,1,000 words
3/6/21,2131,0,2131,0,1,000 words
3/8/21,1839,0,1839,0,1,000 words
3/10/21,771,0,771,0,1,000 words
3/12/21,1176,0,1176,0,1,000 words
3/14/21,1192,0,1192,0,1,000 words
3/16/21,98,0,98,0,1,000 words
3/17/21,1704,0,1704,39236,1,000 words
3/18/21,551,0,551,0,1,000 words
3/20/21,536,0,536,0,1,000 words
3/23/21,724,0,724,0,1,000 words
3/25/21,807,0,807,0,1,000 words
3/28/21,1672,0,1672,43526,1,000 words
4/1/21,1408,0,1408,0,1,000 words
4/2/21,677,0,677,0,1,000 words
4/5/21,841,0,841,0,1,000 words
4/8/21,345,0,345,46797,1,000 words
4/10/21,97,0,97,0,1,000 words
4/11/21,249,0,249,0,1,000 words
4/12/21,1185,0,1185,48328,1,000 words
4/13/21,621,0,621,48949,1,000 words
4/14/21,2201,0,2201,0,1,000 words
4/18/21,1226,0,1226,0,1,000 words
4/19/21,1387,0,1387,0,1,000 words
4/21/21,1426,0,1426,0,1,000 words
4/22/21,1367,0,1367,0,1,000 words
4/27/21,1991,0,1991,58547,1,000 words
4/28/21,1501,0,1501,0,1,000 words
4/29/21,1174,0,1174,0,1,000 words
4/30/21,1111,0,1111,0,1,000 words
5/1/21,1319,0,1319,0,1,000 words
5/2/21,1189,0,1189,0,1,000 words
5/3/21,1040,0,1040,65853,1,000 words
5/4/21,944,0,944,0,1,000 words
5/5/21,1474,0,1474,0,1,000 words
5/6/21,133,0,133,68404,1,000 words
5/15/21,-94,0,-94,68310,1,000 words
5/17/21,1357,0,1357,0,1,000 words
5/18/21,1345,0,1345,71012,1,000 words
5/19/21,597,0,597,0,1,000 words
5/20/21,2020,0,2020,0,1,000 words
5/21/21,1176,0,1176,0,1,000 words
5/22/21,1917,0,1917,0,1,000 words
5/23/21,1589,0,1589,78311,1,000 words
5/24/21,349,0,349,0,1,000 words
5/25/21,1439,0,1439,0,1,000 words
5/26/21,626,0,626,0,1,000 words
5/29/21,681,0,681,0,1,000 words
5/30/21,1025,0,1025,0,1,000 words
5/31/21,5,0,5,0,1,000 words
6/1/21,1042,0,1042,0,1,000 words
6/3/21,88,0,88,0,1,000 words
6/7/21,3131,0,3131,0,1,000 words
6/8/21,1313,0,1313,89140,1,000 words
6/13/21,2537,0,2537,91677,1,000 words
6/14/21,211,0,211,0,1,000 words
6/17/21,649,0,649,0,1,000 words
6/18/21,546,0,546,0,1,000 words
6/19/21,1592,0,1592,94675,1,000 words
6/21/21,1511,0,1511,0,1,000 words
6/23/21,1003,0,1003,0,1,000 words
7/19/21,-473,0,-473,96716,1,000 words
7/20/21,3463,0,3463,0,1,000 words
7/21/21,1149,0,1149,0,1,000 words
8/12/21,289,0,289,0,1,000 words
8/14/21,160,0,160,0,1,000 words
8/27/21,-278,0,-278,0,1,000 words
9/2/21,412,0,412,101911,1,000 words
9/18/21,345,0,345,0,1,000 words
9/19/21,446,0,446,0,1,000 words
9/24/21,-2091,2435,344,0,1,000 words
9/26/21,481,0,481,0,1,000 words
10/1/21,331,0,331,0,1,000 words
10/3/21,376,0,376,99993,1,000 words
10/8/21,672,0,672,0,1,000 words
10/13/21,97,0,97,100762,1,000 words
10/14/21,-685,0,-685,0,1,000 words
10/15/21,77,0,77,0,1,000 words
10/17/21,-348,0,-348,0,1,000 words
10/18/21,285,0,285,0,1,000 words
10/20/21,265,300,565,0,1,000 words
10/22/21,275,0,275,0,1,000 words
10/23/21,140,0,140,100409,1,000 words
11/2/21,-255,0,-255,0,1,000 words
11/11/21,-2169,0,-2169,0,1,000 words
11/12/21,-110,0,-110,0,1,000 words
11/13/21,226,0,226,98101,1,000 words
11/14/21,-1205,0,-1205,0,1,000 words
11/15/21,-714,0,-714,96182,1,000 words
11/17/21,-125,0,-125,96057,1,000 words
11/18/21,-425,0,-425,0,1,000 words
11/19/21,-214,0,-214,0,1,000 words
11/20/21,-636,0,-636,0,1,000 words
11/21/21,-569,0,-569,0,1,000 words
11/23/21,-156,0,-156,94057,1,000 words
12/9/21,89,0,89,0,1,000 words
3/19/22,229,0,229,0,1,000 words
3/27/22,-273,0,-273,0,1,000 words
3/28/22,-485,-546,-1031,0,1,000 words
4/7/22,686,0,686,0,1,000 words
4/8/22,-5125,0,-5125,0,1,000 words
4/11/22,-31,0,-31,0,1,000 words
4/12/22,-510,0,-510,0,1,000 words
